label,cagr_pct,max_dd_pct,sharpe,n_switches,switches_per_year,activity_months,total_months
HODL,63.82,-75.41,1.011,0,0.0,119,119
ensemble_K1,63.75,-75.41,1.011,0,0.0,119,119
ensemble_K2,71.54,-75.41,1.079,2,0.202,118,119
ensemble_K3,80.15,-75.41,1.159,5,0.504,112,119
ensemble_K4,96.15,-42.13,1.317,7,0.706,104,119
ensemble_K5,82.02,-42.13,1.252,7,0.706,78,119
ensemble_K6,66.53,-42.13,1.153,9,0.908,68,119
ensemble_K7,47.03,-33.38,0.982,8,0.807,54,119
ensemble_K8,16.98,-24.79,0.686,4,0.403,35,119
ensemble_K9,12.87,-22.31,0.583,2,0.202,30,119
S1,61.57,-61.76,1.048,12,1.21,80,119
S2,47.84,-66.19,0.896,10,1.008,79,119
S3,61.57,-61.76,1.048,12,1.21,80,119
S4,19.35,-55.82,0.611,3,0.303,58,119
S5,32.0,-55.82,0.776,3,0.303,76,119
S6,68.52,-73.06,1.063,3,0.303,112,119
S7,95.03,-42.13,1.351,4,0.403,91,119
S8,97.92,-42.13,1.383,4,0.403,87,119
S9,46.98,-42.13,1.015,3,0.303,55,119
