cell_id,rule,optim,objective,params_fee05,cagr_pct_fee05,max_dd_pct_fee05,sharpe_fee05,switches_per_year_fee05,params_fee015,cagr_pct_fee015,max_dd_pct_fee015,sharpe_fee015,switches_per_year_fee015,d_cagr_pp,d_dd_pp,d_sharpe,d_switches_per_year,params_changed
HODL,HODL,-,-,-,63.82,-75.41,1.011,0.0,-,63.82,-75.41,1.011,0.0,0.0,0.0,0.0,0.0,False
S1,R1,O1,cagr,n=8,61.57,-61.76,1.048,1.21,n=8,62.22,-61.52,1.055,1.21,0.65,0.24,0.007,0.0,False
S2,R1,O2,dd,n=11,47.84,-66.19,0.896,1.008,n=11,48.34,-65.98,0.901,1.008,0.5,0.21,0.005,0.0,False
S3,R1,O3,sharpe,n=8,61.57,-61.76,1.048,1.21,n=8,62.22,-61.52,1.055,1.21,0.65,0.24,0.007,0.0,False
S4,R2,O1,dd,"k_low=0.7, k_high=2",19.35,-55.82,0.611,0.303,"k_low=0.7, k_high=2",19.46,-55.82,0.614,0.303,0.11,0.0,0.003,0.0,False
S5,R2,O2,sharpe,"k_low=0.7, k_high=2.1",32.0,-55.82,0.776,0.303,"k_low=0.7, k_high=2.1",32.13,-55.82,0.778,0.303,0.13,0.0,0.002,0.0,False
S6,R2,O3,cagr,"k_low=1.1, k_high=2.3",68.52,-73.06,1.063,0.303,"k_low=1.1, k_high=2.3",68.68,-73.06,1.064,0.303,0.16,0.0,0.001,0.0,False
S7,R3,O1,sharpe,"k_low=0.8, k_high=2.5",95.03,-42.13,1.351,0.403,"k_low=0.8, k_high=2.5",95.36,-42.13,1.354,0.403,0.33,0.0,0.003,0.0,False
S8,R3,O2,cagr,"k_low=0.6, k_high=2.5",97.92,-42.13,1.383,0.403,"k_low=0.6, k_high=2.5",98.25,-42.13,1.386,0.403,0.33,0.0,0.003,0.0,False
S9,R3,O3,dd,"k_low=0.5, k_high=2",46.98,-42.13,1.015,0.303,"k_low=0.5, k_high=1.5",42.62,-42.13,0.98,0.303,-4.36,0.0,-0.035,0.0,True
